company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2
ADelicateWorld,"Fox Animal Earrings - Leverback Earrings Silver, Fox Profile, Silver Fox Earrings, Silver Fox Jewelry, Fox Dangle Earrings, Animal Jewelry",2491,-.4500365881318537,36,-.0153506571675163,5,4.9444,446,-.474261207867769,0,1,0,2011,153,.0603398218133593,3,-.2285493262894844,5410.009065224322
ADelicateWorld,"Raven Earrings, Soaring Bird Jewelry, Gothic Raven Jewelry Earrings",2491,-.4500365881318537,36,-.0153506571675163,5,4.9444,446,-.474261207867769,0,1,0,2011,180,.2199225572110438,3,-.2285493262894844,5410.009065224322
ADelicateWorld,"Silver Fox Earrings - Winter Fox Jewelry, Woodland Animal Earrings, Wildlife Photography Jewelry, Nature Earrings, Red Fox Animal Jewelry",2491,-.4500365881318537,36,-.0153506571675163,5,4.9444,446,-.474261207867769,0,1,0,2011,21,-.7198424401308756,3,-.2285493262894844,5410.009065224322
ADelicateWorld,"Sitting Fox Earrings - Fox Profile, Silver Jewelry, Dangle Earrings",2491,-.4500365881318537,37,-.0098984878972819,5,4.9444,446,-.474261207867769,0,1,0,2011,21,-.7198424401308756,3,-.2285493262894844,5410.009065224322
AHoleyMoleyLyfe,Africa Earrings - Africa Shaped Earrings - Africa Shaped Studs,5935,-.330157291838009,13,-.1407505503829095,5,5,1288,-.3005581106185835,1,0,0,2010,6,-.8084995153518114,4,-.0490808771134007,5410.009065224322
AHoleyMoleyLyfe,Africa Earrings - Africa Shaped Earrings - Africa Shaped Studs - Mirror Africa Earrings - Mirror Earrings,5935,-.330157291838009,13,-.1407505503829095,5,5,1288,-.3005581106185835,1,0,0,2010,35,-.6370958365913356,4,-.0490808771134007,5410.009065224322
AHoleyMoleyLyfe,Ankh Earrings,5949,-.3296699776254324,18,-.1134897040317371,5,5,1288,-.3005581106185835,1,0,0,2010,8,-.79667857198902,4,-.0490808771134007,5410.009065224322
AHoleyMoleyLyfe,Ankh Earrings - Long Dangle Earrings,5935,-.330157291838009,15,-.1298462118424406,5,5,1288,-.3005581106185835,1,0,0,2010,8,-.79667857198902,4,-.0490808771134007,5410.009065224322
AHoleyMoleyLyfe,Black Earrings - Black Studs - Black Posts - Black Stud Earrings,5931,-.3302965244701738,11,-.1516548889233785,5,5,1288,-.3005581106185835,1,0,0,2010,277,.7932383103064286,4,-.0490808771134007,5410.009065224322
AHoleyMoleyLyfe,Compass Earrings - Direction,5935,-.330157291838009,13,-.1407505503829095,5,5,1288,-.3005581106185835,1,0,0,2010,548,2.394976135964669,4,-.0490808771134007,5410.009065224322
