company,product,sales2,z_sales2,currentprice,z_currentprice,numberofstars2,averagerating2,numberofreviews2,z_numberofreviews2,freeshipping2,foreign,bestseller2,etsysince2,dayssincelastreview,z_dayssincelastreview,daysuntilship,z_daysuntilship,betabestseller2,lqtbestseller,uqtnonbestseller
mlejewelry,"Lavender Earrings, Green Mint Earrings, Gold, Glass, Violet, Purple, Lilac, Bridesmaid Jewelry, Bridesmaid Earrings, Bridesmaid Gifts",12379,-.1058535214206064,23.1,-.0856836386737037,5,4.8411,2482,-.054238041597767,0,0,0,2011,1,-.8380518737587901,2,-.4080177754655682,5410.009065224322,8388,13471
mlejewelry,"Gold Mint Green Earrings, Glass Earrings, Light Green, Pistachio, Bridesmaid Jewelry, Bridesmaid Earrings, Bridal Jewelry, Bridesmaid Gifts",12379,-.1058535214206064,15.5,-.1271201272073233,5,4.8411,2482,-.054238041597767,0,0,0,2011,259,.6868498200413057,2,-.4080177754655682,5410.009065224322,8388,13471
mlejewelry,"Coral Earrings, Peach Earrings, Gold Earrings, Pink, Grapefruit, Glass, Bridesmaid Earrings, Bridal Earrings Jewelry, Bridesmaid Gifts",12379,-.1058535214206064,21.4,-.0949523305927774,5,4.8411,2482,-.054238041597767,0,0,0,2011,1,-.8380518737587901,2,-.4080177754655682,5410.009065224322,8388,13471
mlejewelry,"Aqua Earrings, Gray Earrings, Silver, Dusty Green, Charcoal, Soft Green, Aqua Wedding, Bridesmaid Earrings, Bridal Jewelry, Bridesmaid Gift",12379,-.1058535214206064,21.4,-.0949523305927774,5,4.8411,2482,-.054238041597767,0,0,0,2011,1,-.8380518737587901,2,-.4080177754655682,5410.009065224322,8388,13471
misshettie,BAKELITE Earrings Butterscotch Screw On Earrings Screw Back Vintage Mid Century Modern Bakelite Jewelry - misshettie,9977,-.1894627170355352,29,-.0535158420591577,5,4.9797,3054,.0637645375311333,1,0,0,2008,579,2.578200758087936,2,-.4080177754655682,5410.009065224322,8388,13471
michellemach,Teacher Earrings (Inspire and Teach Jewelry in Sterling Silver or Copper),11463,-.1377377941863328,16,-.1243940425722061,5,4.9778,2782,.0076514229803276,0,0,0,2010,0,-.8439623454401858,2,-.4080177754655682,5410.009065224322,8388,13471
michellemach,"Propeller Earrings Inspired by Amelia Earhart (Airplane Jewelry for Pilot, Traveler)",11462,-.1377726023443739,14,-.135298381112675,5,4.9778,2782,.0076514229803276,0,0,0,2010,179,.2140120855296481,1.5,-.4977520000536101,5410.009065224322,8388,13471
michellemach,"Musical Theatre Jewelry (Sing and Dance Earrings, Music Theater Gift for Actor, Dancer, Singer)",11464,-.1377029860282916,16,-.1243940425722061,5,4.9777,2782,.0076514229803276,0,0,0,2010,486,2.028526891718134,2,-.4080177754655682,5410.009065224322,8388,13471
michellemach,"More Books, Less Sleep Earrings (Bookish Gift)",11459,-.1378770268184975,16,-.1243940425722061,5,4.9778,2782,.0076514229803276,0,0,0,2010,410,1.579331043932059,2,-.4080177754655682,5410.009065224322,8388,13471
michellemach,"Book Lover Earrings With So Many Books Quote (Librarian Gift, Book Club, Love to Read, Book Geek)",11463,-.1377377941863328,16,-.1243940425722061,5,4.9778,2782,.0076514229803276,0,0,0,2010,164,.1253550103087123,2,-.4080177754655682,5410.009065224322,8388,13471
meineketten,Tiny Discs 3mm Golden Mini Studs Disc  Earstuds  Silver 925 Silver Gold Plated Studs Earrings Circle Golden Disc,12660,-.0960724290110331,18.18,-.1125083118992249,5,4.9298,1181,-.3226320196514372,1,1,0,2012,578,2.57229028640654,1.5,-.4977520000536101,5410.009065224322,8388,13471
meineketten,Sterling Silver Hoops L 15mm Earrings  925 Gold or Rosegold Plated,12653,-.0963160861173214,20.58,-.0994231077304996,5,4.9297,1180,-.3228383178666975,1,1,0,2012,18,-.7375738551750628,1.5,-.4977520000536101,5410.009065224322,8388,13471
meineketten,Rose Golden Earrings 11mm Sterling Silver 925  Rose Gold Plated  Earrings,12658,-.0961420453271155,21.049999,-.096860591917197,5,4.9298,1181,-.3226320196514372,1,1,0,2012,378,1.390195950127396,1.5,-.4977520000536101,5410.009065224322,8388,13471
masfemme,Statement Star Dangle Earrings- Star Jewelry/ Gold Star/ Starburst Drops/ Celestial Jewelry/ Astrology/ Sunburst/ Starlight/ CELESTE,11758,-.1274693875641829,26,-.0698723498698612,5,4.7964,1857,-.1831744261354641,1,0,0,2015,43,-.5898120631401698,4,-.0490808771134007,5410.009065224322,8388,13471
masfemme,Gold Starburst Stud Earrings - Sparkly star earrings/ Astrology earrings/ Celestial earrings/ Gold star studs/ Sunburst studs/ Gifts for her,11761,-.1273649630900593,15,-.1298462118424406,5,4.7896,1859,-.1827618297049435,0,0,0,2015,19,-.7316633834936671,4,-.0490808771134007,5410.009065224322,8388,13471
masfemme,Gold Ear Jackets + Sparkly Spikes- gold ear jacket / ear jacket spike / ear jacket gold / ear jacket earring / gold ear cuff / gifts for her,11758,-.1274693875641829,24,-.0807766884103302,5,4.7959,1856,-.1833807243507244,1,0,0,2015,20,-.7257529118122714,4,-.0490808771134007,5410.009065224322,8388,13471
masfemme,Constellation Ear Crawler- silver ear climber/ silver ear pin/ star ear climber/ zodiac ear crawler/ minimal ear pins/ constellation jewelry,11758,-.1274693875641829,18,-.1134897040317371,5,4.7959,1856,-.1833807243507244,1,0,0,2015,22,-.7139319684494799,4,-.0490808771134007,5410.009065224322,8388,13471
masfemme,Cluster Earrings- statement cluster studs/ sophisticated crystal earrings/ bridesmaid gift/ gifts for her/ bridesmaid earrings/ CAIRO,11761,-.1273649630900593,24,-.0807766884103302,5,4.7896,1859,-.1827618297049435,1,0,0,2015,406,1.555689157206476,4,-.0490808771134007,5410.009065224322,8388,13471
mademoiselleceladon,"Ear cuff gold plated 750/000-earlobes contour earrings, barettes, Stud Earrings set zirkonias-18K gold plated",8758,-.2318938616877409,37.630001,-.0064636154334891,5,4.9157,1335,-.2908620945013486,0,1,0,2015,0,-.8439623454401858,4,-.0490808771134007,5410.009065224322,8388,13471
mademoiselleceladon,Chains earrings Silver 925 feather - Silver 925/000 earrings - 925 silver sterling chain through ears of feather,8757,-.2319286698457821,32.93,-.0320888151632662,5,4.9157,1335,-.2908620945013486,0,1,0,2015,539,2.341781890832107,4,-.0490808771134007,5410.009065224322,8388,13471
madebymoe,Gold Round Filagree Earrings Boho Earrings Light Weight Earrings Matching Jewelry Set,12008,-.1187673480538864,20.25,-.1012223231737095,5,4.8474,2179,-.1167464008216426,0,0,0,2008,17,-.7434843268564585,2,-.4080177754655682,5410.009065224322,8388,13471
madebymoe,Genuine Blue Sapphire Stud Earrings Sterling Silver 6mm  Sapphire Gemstones  September Birthstone,12008,-.1187673480538864,42,.0173623584538906,5,4.8474,2179,-.1167464008216426,0,0,0,2008,94,-.2883780073889881,2,-.4080177754655682,5410.009065224322,8388,13471
lydiasvintage,Triskelion Earrings Celtic Symbol Silver Merlin BBC Renaissance Faire Costume Triskel,10288,-.1786373798847263,12.95,-.14102315988634,5,4.9498,2517,-.047017604063656,1,0,0,2010,175,.1903701988040652,2,-.4080177754655682,5410.009065224322,8388,13471
lunahoo,Sterling silver flower long earrings.,9418,-.2089204773805581,39.950001,.0061854156095849,5,4.9333,1473,-.2623929407954251,1,1,0,2009,434,1.721182364285557,2,-.4080177754655682,5410.009065224322,8388,13471
lunahoo,"Half moon gold long earrings, Half circle earrings, Moon earrings, Brass earrings, Open hoop earrings, Geometric earrings, Gift for her",9419,-.208885669222517,29.950001,-.0483362770927599,5,4.9333,1473,-.2623929407954251,1,1,0,2009,95,-.2824675357075924,2,-.4080177754655682,5410.009065224322,8388,13471
lunahoo,"Gold lightning bolt stud earrings, tiny gold studs, lightning earrings",9420,-.2088508610644758,19.950001,-.1028579697951048,5,4.9333,1473,-.2623929407954251,0,1,0,2009,4,-.8203204587146029,2,-.4080177754655682,5410.009065224322,8388,13471
lindatrentjewelry,Extra Large Hoop Earrings. Large Teardrop Hoop Earrings. Large Lightweight Hoop Earrings,10402,-.1746692498680311,44,.0282666969943595,5,4.8931,2111,-.130774679459344,1,0,0,2007,378,1.390195950127396,2,-.4080177754655682,5410.009065224322,8388,13471
lauralidesigns,"Small Silver Leaf Earrings, Cottonwood Leaf, Heart Shaped Earrings, Real Leaf Earrings, Cottonwood, Sterling Silver, Nature, LESM145",10392,-.175017331448443,27,-.0644201805996267,5,4.9825,2240,-.1041622096907633,0,0,0,2008,7,-.8025890436704157,4,-.0490808771134007,5410.009065224322,8388,13471
lauralidesigns,"Copper Aspen Leaf Earrings Small, Aspen Leaf, Small Size Earrings, Copper Earrings, Real Leaf Earrings, Bridesmaid Gift, Nature, LESM207",10392,-.175017331448443,27,-.0644201805996267,5,4.9825,2240,-.1041622096907633,0,0,0,2008,161,.1076235952645251,4,-.0490808771134007,5410.009065224322,8388,13471
lafeecarabochon,"pattern earrings, Chinese embroidery, gold red china flowers, glass cabochons",8873,-.2278909235130045,10.35,-.1551987968691934,5,4.9505,1401,-.2772464122941679,0,1,0,2015,175,.1903701988040652,4,-.0490808771134007,5410.009065224322,8388,13471
lafeecarabochon,"earrings, Slavic folklore, Russian embroidery blue flowers red Polish, glass cabochons",8873,-.2278909235130045,10.35,-.1551987968691934,5,4.9505,1401,-.2772464122941679,0,1,0,2015,166,.1371759536715037,4,-.0490808771134007,5410.009065224322,8388,13471
kateslittlestore,Paint Palette Stud Earrings,10673,-.1652362390388697,13.23,-.1394965539465606,5,4.98,2872,.0262182623537559,0,1,0,2011,283,.8287011403948029,10.5,1.117464042531144,5410.009065224322,8388,13471
